Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Inositol phosphate metabolism	25/73	1.3191958809116432e-06	3.166070114187944e-05	0	0	3.6674821764864136	49.65216412650103	MTMR1;MTMR3;PIK3CB;PIK3C2A;PIK3C2B;INPP5B;INPP5A;INPP5D;INPP5J;PLCE1;PIP5K1A;INPP5K;PIP5K1B;PIP5K1C;OCRL;INPP4A;FIG4;INPP4B;ALDH6A1;PLCB4;PIK3CA;SYNJ1;PI4KA;PLCB1;PI4K2A
KEGG_2019_Mouse	Longevity regulating pathway	31/102	1.4638373292555643e-06	3.242962698658481e-05	0	0	3.0778864123250838	41.34970884210482	CLPB;IRS1;HDAC1;EHMT2;PRKAG1;EHMT1;PRKAG2;IRS2;PIK3CB;FOXO3;ADIPOR2;ADCY5;STK11;SESN1;RB1CC1;ATG5;APPL1;HSPA8;INSR;TSC1;ATG13;SIRT1;NFKB1;ADCY9;CREB1;PIK3CA;RPS6KB1;CAT;KRAS;CRYAB;HSPA1B
KEGG_2019_Mouse	Long-term potentiation	23/67	3.305996445847519e-06	6.800906974314897e-05	0	0	3.678693181818182	46.4242715434203	GRIA1;GRIA2;CAMK2D;CREBBP;PRKCB;ITPR1;ITPR2;BRAF;CACNA1C;GRIN2B;PPP1CB;RAP1B;PPP1CC;GRIN2A;PPP3CC;PLCB4;RPS6KA1;EP300;MAPK1;KRAS;RAF1;PLCB1;CALM1
KEGG_2019_Mouse	Prostate cancer	29/97	4.543877683906968e-06	8.724245153101378e-05	0	0	3.004428408388416	36.95966646860248	RB1;CDKN1A;HSP90AB1;PDGFA;PIK3CB;EGFR;HSP90B1;PDGFD;EP300;MAPK1;TCF7L2;CREBBP;HSP90AA1;TCF7L1;CHUK;PDPK1;BRAF;NFKB1;NFKBIA;CREB1;ZEB1;PIK3CA;MDM2;BCL2;CTNNB1;GRB2;KRAS;RAF1;SOS2
KEGG_2019_Mouse	Phosphatidylinositol signaling system	29/98	5.6892192212294585e-06	0.00010240594598213026	0	0	2.960716084964793	35.756383227971064	MTMR1;MTMR3;DGKB;ITPR1;ITPR2;PIK3CB;PIK3C2A;PIK3C2B;INPP5B;INPP5A;PPIP5K2;INPP5D;INPP5J;PLCE1;PIP5K1A;INPP5K;PIP5K1B;PIP5K1C;PRKCB;OCRL;INPP4A;INPP4B;PLCB4;SYNJ1;PIK3CA;PI4KA;CALM1;PLCB1;PI4K2A
KEGG_2019_Mouse	Choline metabolism in cancer	29/99	7.09337381848489e-06	0.00012017009763080284	0	0	2.91825268506756	34.599823689590266	SLC44A1;DGKB;PDGFA;PIK3CB;WASL;EGFR;MAPK9;MAPK8;PDGFD;PIP5K1A;MAPK1;PIP5K1B;PIP5K1C;RAC1;RALGDS;WASF2;WASF3;PCYT1A;CHKA;PRKCB;PDPK1;TSC1;GPCPD1;PIK3CA;RPS6KB1;GRB2;KRAS;RAF1;SOS2
KEGG_2019_Mouse	Spliceosome	35/132	1.0021092686277552e-05	0.00015933466602484442	0	0	2.543902153753613	29.28239576432102	TCERG1;DDX5;SF3B2;DHX8;DDX46;DDX42;HNRNPU;EFTUD2;SNRNP70;TRA2B;TRA2A;SF3B1;HSPA8;RBM17;PRPF38B;CDC5L;THOC2;CDC40;U2SURP;HNRNPM;PRPF6;HNRNPK;DDX39B;PRPF3;SRSF2;SRSF3;SRSF4;RP9;SRSF5;HNRNPC;SRSF6;SRSF7;SLU7;HSPA1B;RBM22
KEGG_2019_Mouse	Oxytocin signaling pathway	39/154	1.0511661994694598e-05	0.00015933466602484442	0	0	2.392356013551666	27.42363739265925	RYR2;CDKN1A;CAMK2D;ROCK1;ROCK2;ITPR1;PRKAG1;ITPR2;PRKAG2;CACNA1D;CACNA1C;RYR3;EGFR;ADCY5;PPP1CB;PPP1CC;PPP3CC;MAPK1;GUCY1A2;MEF2C;PPP1R12A;CAMK1D;PRKCB;CACNA2D1;CACNA2D3;NFATC3;NFATC2;RHOA;GNAO1;CACNB2;MYL6;ADCY9;PLCB4;KRAS;CAMK1;RAF1;CALM1;PPP1R12B;PLCB1
KEGG_2019_Mouse	MAPK signaling pathway	63/294	1.1384348912151609e-05	0.00016393462433498317	0	0	1.9298807749627425	21.968355952305483	RASGRF1;FGF1;PPP3CC;RPS6KA1;RAC1;MAP3K7;MAP2K4;MEF2C;CHUK;PRKCB;CACNA2D1;CACNA2D3;MAPK8IP3;TGFBR1;TGFBR2;CACNB2;PPM1A;PPM1B;TRAF6;MAPKAPK2;RAPGEF2;RAF1;SOS2;CRK;CSF1R;MAX;CACNA1B;PDGFA;CACNA1A;CACNA1D;CACNA1C;EFNA5;STK4;CACNA1E;EGFR;RAP1B;MAPK9;MAPK8;ERBB3;PDGFD;MKNK2;MAPK1;FLNC;PAK2;MAP3K2;MAP3K3;HSPA8;NTRK2;MAP3K1;TGFB3;INSR;NFATC3;BRAF;MAPK14;NFKB1;TAOK3;TAOK2;GRB2;TAB2;KRAS;TAB1;MAP3K14;HSPA1B
KEGG_2019_Mouse	Transcriptional misregulation in cancer	44/183	1.2394635022418476e-05	0.0001699835660217391	0	0	2.234493170002428	25.24585539353992	ATF1;CSF1R;DDX5;CDKN1A;CEBPB;CCNT2;SPI1;CCNT1;KMT2A;LDB1;MAX;HDAC1;PRCC;DOT1L;PDGFA;MLLT3;AFF1;CCND2;SIN3A;NFKBIZ;GRIA3;KDM6A;SS18;MEF2C;TAF15;JUP;FUS;ZBTB16;H3F3A;ETV1;KLF3;NFKB1;PBX1;RUNX1;ETV6;TGFBR2;PER2;MEIS1;MAF;ZEB1;NCOR1;BCL6;MDM2;BCL2L1
KEGG_2019_Mouse	Cell cycle	33/123	1.3601353043214376e-05	0.00017805407620207912	0	0	2.584035087719298	28.954995041780453	RB1;YWHAE;CDKN1A;PRKDC;YWHAB;HDAC1;CUL1;SMC3;CDC14A;ANAPC10;CDC14B;CCND2;ORC2;ABL1;EP300;SKP2;SKP1A;YWHAG;YWHAH;CREBBP;SMAD4;SMAD3;TGFB3;RBX1;RBL2;STAG1;CDK7;STAG2;CDK6;TFDP2;MDM2;ANAPC4;ANAPC5
KEGG_2019_Mouse	Dopaminergic synapse	35/135	1.700003983408802e-05	0.0002072285199592978	0	0	2.4671596434359806	27.095074697376944	GRIA1;GRIA2;CAMK2D;CACNA1B;ITPR1;CACNA1A;ITPR2;CACNA1D;CACNA1C;ADCY5;PPP1CB;PPP2CA;PPP1CC;MAPK9;GRIN2A;MAPK8;PPP3CC;KIF5C;PPP2R5E;PPP2R3C;GRIA3;SCN1A;PRKCB;PPP2R5A;PPP2R3A;MAPK14;GRIN2B;GNAO1;CREB1;PLCB4;PPP2R2C;PPP2R2B;GNB1;CALM1;PLCB1
KEGG_2019_Mouse	Salmonella infection	24/78	1.7269043329941482e-05	0.0002072285199592978	0	0	3.1272466496347096	34.295247666315255	DYNC2H1;DYNC1H1;RAB7;ROCK1;ROCK2;ARPC1B;ARPC1A;RHOG;IL18;WASL;KLC1;MAPK14;NFKB1;DYNC1LI1;MAPK9;DYNC1LI2;MAPK8;MAPK1;PLEKHM2;PKN2;RAC1;FLNC;WASF2;DYNC1I1
KEGG_2019_Mouse	Endocytosis	58/269	2.0584252004757944e-05	0.0002361010918894357	0	0	1.9433954583781583	20.971149764049056	RAB7;ZFYVE9;ARPC1B;ARPC1A;CLTA;CBLB;WASL;AP2A2;EEA1;CAPZB;KIF5C;GIT1;USP8;EPS15L1;ARAP1;ARFGAP3;RBSN;RHOA;TGFBR1;EPN1;DNM2;TGFBR2;RAB31;TRAF6;ARF5;RAB5B;AGAP3;ASAP2;CBL;EGFR;SNX3;SNX1;CYTH4;GRK5;GRK4;MVB12B;AP2S1;PIP5K1A;PIP5K1B;PIP5K1C;RAB11FIP3;CYTH1;HSPA8;ARFGEF2;SMAD3;IQSEC2;STAM;AP2B1;RAB11A;RAB11B;RAB10;ITCH;DAB2;NEDD4;MDM2;SMAP2;SMAP1;HSPA1B
KEGG_2019_Mouse	ErbB signaling pathway	25/84	2.2022887728431472e-05	0.0002361010918894357	0	0	2.9818333538528883	31.975476155009037	CDKN1A;CAMK2D;CBLB;PIK3CB;CBL;EGFR;MAPK9;MAPK8;ERBB3;ABL1;ABL2;MAPK1;PAK2;MAP2K4;PRKCB;NRG1;BRAF;NRG3;PIK3CA;RPS6KB1;KRAS;GRB2;RAF1;SOS2;CRK
KEGG_2019_Mouse	Thyroid hormone signaling pathway	31/115	2.21344773646346e-05	0.0002361010918894357	0	0	2.5996060641084915	27.863550316386	THRB;THRA;HDAC1;PIK3CB;MED12L;MED17;MED12;MED13;SIN3A;PLCE1;EP300;MAPK1;ITGAV;NCOA1;CREBBP;PRKCB;PDPK1;STAT1;NCOA3;MED13L;KAT2B;NCOR1;PLCB4;PIK3CA;RCAN2;MDM2;CTNNB1;KRAS;RAF1;PLCB1;PFKP
KEGG_2019_Mouse	Insulin signaling pathway	35/139	3.31979699552538e-05	0.00034146483382546764	0	0	2.3717234447076425	24.4596356596071	IRS1;PDE3B;PRKAG1;PRKAG2;CBLB;IRS2;PIK3CB;CBL;ACACA;HK2;PPP1CB;PPP1CC;GYS1;MAPK9;MAPK8;MKNK2;PHKG2;INPP5K;MAPK1;SH2B2;PDPK1;INSR;TSC1;PHKA1;BRAF;PHKA2;PRKAR1B;PIK3CA;RPS6KB1;GRB2;KRAS;RAF1;CALM1;SOS2;CRK
KEGG_2019_Mouse	Pathways in cancer	99/535	3.68083285593628e-05	0.0003655447801757409	0	0	1.6114570135401245	16.452631931399146	RB1;SPI1;CSF3R;FGF1;RASSF1;CCND2;EP300;SKP2;IL15RA;RALBP1;PRKCB;TPM3;RBX1;RUNX1;EML4;ADCY9;MSH2;MSH3;IL6ST;RAF1;CSF1R;MAX;CUL1;PDGFA;STK4;HSP90B1;TPR;ABL1;RALGDS;CREBBP;SMAD4;GSTM1;SMAD3;JUP;TGFB3;FZD7;ZBTB16;BRAF;NFKB1;NFKBIA;CXCL12;CDK6;GNB1;MDM2;BCL2;GRB2;CALM1;BCL2L1;NFE2L2;CDKN1A;HSP90AB1;PIK3CB;BBC3;GLI2;ITGAV;RAC1;JAK2;SKP1A;APPL1;JAK1;NCOA1;ARHGEF11;HSP90AA1;ARHGEF12;CHUK;NCOA3;AXIN1;ARNT;RHOA;TGFBR1;TGFBR2;PLCB4;PIK3CA;TRAF6;PLCB1;SOS2;CRK;CAMK2D;ROCK1;ROCK2;HDAC1;XIAP;IL6RA;CBL;EGFR;ADCY5;LRP6;MAPK9;MAPK8;MAPK1;STAT6;TCF7L2;TCF7L1;STAT1;TXNRD1;STAT3;RPS6KB1;CTNNB1;KRAS
KEGG_2019_Mouse	Adherens junction	22/72	4.305510116749395e-05	0.000413328971207942	0	0	3.094187827488916	31.10596256059537	FARP2;TCF7L2;CREBBP;TCF7L1;SMAD4;SMAD3;CSNK2A1;INSR;PTPRJ;WASL;IQGAP1;RHOA;TGFBR1;EGFR;TGFBR2;EP300;MAPK1;CTNNB1;RAC1;MAP3K7;WASF2;WASF3
KEGG_2019_Mouse	Renal cell carcinoma	21/68	5.357874104231966e-05	0.000497763787748002	0	0	3.141341059886502	30.893073182729644	CDKN1A;CREBBP;TGFB3;PRCC;ARNT;PTPN11;BRAF;PIK3CB;RBX1;RAP1B;FLCN;PIK3CA;EP300;MAPK1;KRAS;GRB2;RAC1;RAF1;SOS2;CRK;PAK2
KEGG_2019_Mouse	AMPK signaling pathway	32/126	5.919573626998722e-05	0.0005327616264298849	0	0	2.397582165890285	23.339649703211	CAB39;IRS1;CAB39L;PRKAG1;PRKAG2;IRS2;PIK3CB;FOXO3;ADIPOR2;ELAVL1;ACACA;PPP2CA;GYS1;STK11;PPP2R5E;PPP2R3C;MAP3K7;PDPK1;INSR;PPP2R5A;TSC1;PPP2R3A;CPT1C;SIRT1;RAB11B;RAB10;CREB1;PIK3CA;RPS6KB1;PPP2R2C;PPP2R2B;PFKP
KEGG_2019_Mouse	Wnt signaling pathway	38/160	6.250993110725875e-05	0.0005379744177655671	0	0	2.1954909719682107	21.25275902944157	CAMK2D;ROCK2;CHD8;CUL1;PRICKLE1;LRP6;MAPK9;MAPK8;CCND2;PPP3CC;ZNRF3;EP300;RSPO3;RAC1;SKP1A;MAP3K7;RNF43;TCF7L2;CREBBP;SMAD4;TCF7L1;SMAD3;CSNK2A1;PRKCB;RYK;CSNK1A1;FZD7;SIAH1A;NFATC3;AXIN1;NFATC2;CSNK1E;RHOA;RBX1;PLCB4;DAAM2;CTNNB1;PLCB1
KEGG_2019_Mouse	Lysine degradation	19/59	6.351086876399056e-05	0.0005379744177655671	0	0	3.3381944444444445	32.26131091728677	KMT2E;SETD2;ECHS1;KMT2A;SETDB1;PRDM6;EHMT2;KMT2C;SETD1B;SETD7;DOT1L;EHMT1;DLST;PRDM2;PLOD1;ASH1L;HADHA;KMT5B;KMT5A
KEGG_2019_Mouse	Huntington disease	43/192	9.288275587121956e-05	0.0007642923911688922	0	0	2.035150324657609	18.8946867787102	NDUFB9;HIP1;NDUFB7;DCTN2;NDUFB11;HDAC1;NDUFA10;ATP5A1;ITPR1;ATP5C1;CLTA;HTT;NRF1;ATP5H;COX6A1;ATP5O;ATP5G2;AP2A2;ATP5G1;BBC3;SIN3A;ATP5D;AP2S1;EP300;NDUFV1;COX8A;CREBBP;GPX1;NDUFA4;DNAH14;SDHC;AP2B1;GRIN2B;CREB1;PLCB4;NDUFS7;NDUFS4;VDAC3;NDUFS3;VDAC1;PLCB1;DNAL1;RCOR1
KEGG_2019_Mouse	Sphingolipid signaling pathway	31/124	0.00010512754362011504	0.0008410203489609202	0	0	2.3468176914778858	21.497639156871937	ROCK1;ROCK2;PIK3CB;PPP2CA;MAPK9;MAPK8;PPP2R5E;PPP2R3C;ADORA1;MAPK1;RAC1;CERS4;CERS5;ABCC1;PRKCB;PDPK1;PRKCE;PPP2R5A;PPP2R3A;MAPK14;NFKB1;RHOA;PLCB4;PIK3CA;PPP2R2C;PPP2R2B;BCL2;KRAS;RAF1;PLCB1;NSMAF
KEGG_2019_Mouse	Synaptic vesicle cycle	22/77	0.00013129529365515626	0.0010219741776401	0	0	2.8120918984280534	25.13465067349471	NSF;SNAP25;UNC13C;ATP6V1G1;ATP6V0B;RAB3A;SYT1;STXBP1;CACNA1B;CLTA;CACNA1A;AP2B1;SLC6A1;AP2A2;DNM2;RIMS1;AP2S1;ATP6V0A2;ATP6V1H;ATP6V1E1;ATP6V0E;ATP6V0A1
KEGG_2019_Mouse	Type II diabetes mellitus	16/48	0.0001500536584984812	0.001137248780199	0	0	3.5112585444310414	30.914937668438192	IRS1;INSR;PRKCE;CACNA1B;CACNA1A;IRS2;CACNA1D;PIK3CB;CACNA1C;CACNA1E;HK2;MAPK9;MAPK8;PKM;PIK3CA;MAPK1
KEGG_2019_Mouse	Proteoglycans in cancer	44/203	0.00017119373397535967	0.0012641998816641	0	0	1.9511740979740704	16.921976273052174	CDKN1A;DDX5;CAMK2D;ITGB5;ROCK1;ROCK2;PXN;ITPR1;ITPR2;IQGAP1;PIK3CB;CBL;EGFR;PPP1CB;PPP1CC;ERBB3;CTSL;PLCE1;MAPK1;ITGAV;RAC1;FLNC;ARHGEF12;PPP1R12A;PRKCB;PDPK1;FZD7;STAT3;FRS2;BRAF;PTPN11;MAPK14;RHOA;VAV2;TFAP4;PIK3CA;RPS6KB1;MDM2;CTNNB1;GRB2;KRAS;RAF1;PPP1R12B;SOS2
KEGG_2019_Mouse	Osteoclast differentiation	31/128	0.0001957702267629099	0.0014062069977785	0	0	2.2495245721149035	19.207720548689824	CSF1R;SPI1;PIK3CB;MAPK9;MAPK8;PPP3CC;BLNK;SIRPA;MAPK1;RAC1;MAP3K7;JAK1;CHUK;STAT1;NFATC2;CYBA;MAPK14;NFKB1;TGFBR1;TGFBR2;NFKBIA;TYROBP;CREB1;PIK3CA;TRAF6;TAB2;GRB2;TAB1;SQSTM1;MAP3K14;IRF9
KEGG_2019_Mouse	Acute myeloid leukemia	20/69	0.00021096417048801575	0.0014062069977785	0	0	2.86815652559856	24.275567009299284	CSF1R;TCF7L2;TCF7L1;SPI1;CHUK;JUP;ZBTB16;STAT3;BRAF;PIK3CB;NFKB1;RUNX1;PER2;PIK3CA;RPS6KB1;MAPK1;KRAS;GRB2;RAF1;SOS2
KEGG_2019_Mouse	Regulation of actin cytoskeleton	46/217	0.00021239140298833916	0.0014062069977785	0	0	1.8969455928520256	16.042620150653953	NCKAP1;CHRM3;ITGB5;ROCK1;ROCK2;ARPC1B;ARPC1A;PXN;PDGFA;BRK1;IQGAP1;WASL;PIK3CB;FGF1;EGFR;ARHGAP35;PPP1CB;PPP1CC;PDGFD;TMSB4X;PIP5K1A;MAPK1;PIP5K1B;ITGAV;PIP5K1C;RAC1;PAK2;WASF2;GIT1;ARHGEF12;PPP1R12A;BRAF;SSH2;RHOA;VAV2;ENAH;CXCL12;ABI2;PIK3CA;ITGAD;KRAS;ARHGEF7;RAF1;PPP1R12B;SOS2;CRK
KEGG_2019_Mouse	Alzheimer disease	39/175	0.00021392942089106413	0.0014062069977785	0	0	2.020504082314744	17.07298552785763	NDUFB9;NDUFB7;LRP1;NDUFB11;NDUFA10;ATP5A1;ITPR1;ATP5C1;ITPR2;CACNA1D;CACNA1C;ATP5H;IDE;COX6A1;ATP5O;ATP5G2;ATP5G1;RYR3;APH1A;GRIN2A;PPP3CC;ATP5D;MAPK1;APOE;NDUFV1;SNCA;COX8A;NDUFA4;ADAM10;SDHC;GRIN2B;ERN1;PLCB4;NDUFS7;NDUFS4;NDUFS3;CALM1;PLCB1;ATF6
KEGG_2019_Mouse	GnRH signaling pathway	24/90	0.00021483718021617445	0.0014062069977785	0	0	2.556896109134915	21.59459878804551	MAP3K2;MAP2K4;MAP3K3;CAMK2D;MAP3K1;PRKCB;ITPR1;ITPR2;CACNA1D;CACNA1C;MAPK14;EGFR;ADCY5;MAPK9;MAPK8;ADCY9;PLCB4;MAPK1;KRAS;GRB2;RAF1;PLCB1;CALM1;SOS2
KEGG_2019_Mouse	mTOR signaling pathway	35/154	0.00029684913991795354	0.0018998344954749	0	0	2.070979120983888	16.821085744995518	CAB39;IRS1;CAB39L;SLC3A2;PIK3CB;LRP6;FLCN;STK11;RPS6KA1;ATP6V1H;MAPK1;ATP6V1E1;SKP2;FNIP1;ATP6V1G1;CHUK;PRKCB;PDPK1;INSR;FZD7;TSC1;BRAF;RHOA;TTI1;CLIP1;RRAGC;PIK3CA;RPS6KB1;DDIT4;ULK2;GRB2;KRAS;RAF1;SGK1;SOS2
KEGG_2019_Mouse	cGMP-PKG signaling pathway	38/172	0.00030768271118659013	0.0019263613222116	0	0	1.997499318821713	16.152661316938005	ROCK1;IRS1;ROCK2;PDE3B;ITPR1;ITPR2;IRS2;CACNA1D;CACNA1C;SLC8A1;ADCY5;PPP1CB;PPP1CC;PPP3CC;ADORA1;MAPK1;MEF2D;PRKG1;GTF2I;GUCY1A2;MEF2C;PPP1R12A;PRKCE;INSR;NFATC3;NFATC2;ATP2B2;ATP2B1;RHOA;ADCY9;CREB1;PLCB4;KCNMA1;VDAC3;VDAC1;RAF1;CALM1;PLCB1
KEGG_2019_Mouse	Fc gamma R-mediated phagocytosis	23/87	0.0003304333096847205	0.0019889413764151	0	0	2.526203377016129	20.24778709952154	PRKCB;ARPC1B;PRKCE;ARPC1A;PIK3CB;WASL;ASAP2;VAV2;DNM2;PTPRC;PIK3CA;RPS6KB1;INPP5D;PIP5K1A;MAPK1;PIP5K1B;RAC1;PIP5K1C;DOCK2;RAF1;CRK;WASF2;WASF3
KEGG_2019_Mouse	Non-small cell lung cancer	19/66	0.00033149022940252257	0.0019889413764151	0	0	2.8398773426525508	22.752847992486107	RB1;CDKN1A;PDPK1;PRKCB;STAT3;BRAF;PIK3CB;FOXO3;STK4;EGFR;EML4;RASSF1;CDK6;PIK3CA;MAPK1;KRAS;GRB2;RAF1;SOS2
KEGG_2019_Mouse	Retrograde endocannabinoid signaling	34/150	0.0003786016043186856	0.0022252502457914	0	0	2.0633580536584684	16.257251920650294	GRIA1;GABRB3;GRIA2;GABRB2;NDUFB9;GABRB1;NDUFB7;NDUFB11;NDUFA10;CACNA1B;ITPR1;CACNA1A;ITPR2;CACNA1D;CACNA1C;ADCY5;RIMS1;GABRR2;MAPK9;MAPK8;MAPK1;NDUFV1;GRIA3;PRKCB;NDUFA4;MAPK14;GNAO1;ADCY9;PLCB4;NDUFS7;GNB1;NDUFS4;NDUFS3;PLCB1
KEGG_2019_Mouse	Circadian entrainment	25/99	0.00039934054115990224	0.002300201517081	0	0	2.3753626507863794	18.588866038683005	GRIA1;GRIA2;RYR2;CAMK2D;ITPR1;CACNA1D;CACNA1C;RYR3;ADCY5;GRIN2A;MAPK1;GRIA3;PRKG1;GUCY1A2;PRKCB;GRIN2B;GNAO1;PER2;ADCY9;CREB1;PLCB4;GNB1;NOS1AP;CALM1;PLCB1
